TIME_PERIOD,Bioenergy,Charcoal,Crude oil,Electricity,Fossil energy,Geothermal,Heat,Hydro,Lignite,Natural gas,Natural gas liquids,Nuclear heat,Oil and petroleum products (excluding biofuel portion),Peat,Primary solid biofuels,Renewables and biofuels,Solar thermal,Solid fossil fuels,"Tide, wave, ocean",Wind
1990,43243.923,8.049,515049.13,2900.411,1198626.637,3183.25,91.397,24388.936,140878.258,249793.009,5384.685,188580.208,547932.145,3018.756,40651.523,71047.951,151.917,382922.722,43.222,66.146
1991,45219.754,8.789,509859.936,294.232,1185827.354,3150.862,86.649,25418.195,123060.237,255840.624,5421.561,193463.9,552017.923,3382.348,42570.061,74104.623,170.427,361880.203,44.479,93.337
1992,45467.42,8.789,513339.944,461.821,1143921.451,3419.049,93.04,26455.971,112993.841,247244.03,5320.286,193848.066,544641.709,3427.706,42674.264,75711.46,188.965,336863.263,44.388,130.488
1993,49103.661,9.53,522668.001,463.8,1132817.884,3591.304,49.379,27151.247,107961.503,251696.87,6017.162,199597.807,545752.356,3210.808,46099.838,80284.305,204.207,320536.148,42.497,183.805
1994,48727.635,10.163,535134.452,247.206,1125468.462,3407.464,39.706,28016.521,101795.271,249029.582,6493.517,198979.163,547391.555,3415.532,45577.139,80709.566,222.393,313746.202,43.111,270.966
1995,50784.76,11.644,545391.887,370.422,1167848.247,3437.607,64.866,27964.978,98296.711,270556.005,8226.853,204531.543,570062.75,3152.746,47177.38,82824.303,272.618,310986.494,43.63,316.179
1996,54034.294,11.644,562686.722,-1553.741,1202337.088,3721.786,89.419,28133.042,97241.366,293533.977,8368.543,214742.249,583593.889,3589.193,50059.838,86663.66,295.281,310523.44,42.188,377.359
1997,56512.421,12.348,570238.066,-883.835,1188482.564,3844.48,98.782,28526.001,94724.314,285729.899,8180.34,216856.09,584697.803,3785.266,52071.107,89869.771,350.258,302061.944,43.81,575.559
1998,57348.282,12.348,598075.959,-996.731,1196036.684,4116.86,123.947,29488.008,89984.783,294035.297,7965.45,215220.621,599453.553,3432.085,52714.349,92272.826,384.125,287606.255,44.858,894.198
1999,57345.264,10.187,566534.695,-82.631,1179107.359,4323.417,127.352,29305.846,85474.456,300647.011,8276.977,219054.5,590969.608,2754.148,52310.26,92556.495,418.223,272775.116,44.281,1148.387
2000,59390.958,39.653,576969.187,760.751,1182454.674,4584.946,254.633,30110.361,89940.787,308597.405,9043.465,222051.376,579848.361,2547.787,53554.139,96362.754,477.864,279028.247,43.621,1829.754
2001,60310.29,36.844,575188.741,-289.384,1210767.484,4454.799,223.13,32107.785,91947.382,319655.439,9914.041,229690.041,596324.431,3331.874,53826.11,99636.758,519.59,278228.148,41.697,2213.587
2002,62876.825,36.801,563047.794,611.238,1210790.566,4603.923,308.413,26879.172,92411.492,321954.024,11756.668,233158.052,593330.788,3769.999,55389.195,97909.111,561.484,278119.455,42.514,3015.388
2003,70391.3,138.502,582519.418,-177.492,1238040.372,5214.215,333.147,26195.753,93878.269,338619.511,12079.293,234409.959,598273.888,3588.329,61813.204,106412.448,644.931,285424.801,42.164,3724.406
2004,73464.072,152.663,595784.256,-1016.187,1248091.195,5300.392,455.441,27790.954,92962.619,347546.361,11684.275,239962.441,600607.661,3017.47,63754.27,112581.188,676.019,283903.621,40.428,4947.341
2005,81159.074,169.942,600454.049,632.406,1250024.871,5304.339,529.87,26398.121,90175.439,359711.097,12251.994,236774.26,598624.311,2810.59,68536.875,119921.759,735.498,274253.822,41.35,5856.667
2006,87342.275,174.729,590160.946,38.977,1255846.141,5478.559,546.496,26654.086,90016.14,359550.268,15167.463,236349.423,596902.106,3366.871,71536.004,127929.511,835.522,281811.851,39.92,6770.263
2007,95099.478,232.225,584147.093,911.735,1235343.093,5611.681,594.026,26457.845,90512.485,353037.393,12251.017,225455.389,579754.007,3680.374,75352.691,137984.031,956.443,282736.264,40.008,8593.286
2008,102244.843,234.38,584958.828,1036.398,1217125.75,5609.246,703.739,27996.841,87649.443,359282.432,10954.203,228671.21,577032.035,3470.599,79865.19,148648.63,1118.851,261491.786,39.993,9739.884
2009,107021.775,277.143,538848.054,1486.063,1130746.752,5454.457,591.694,28288.851,84855.323,337691.735,11875.217,212636.713,543233.511,3276.973,81565.421,155750.491,1340.497,231680.084,38.538,10714.102
2010,118543.28,265.595,537785.187,421.271,1166776.789,5493.109,703.738,31971.186,83670.868,362842.305,10429.796,219620.718,538857.988,3377.881,90038.353,174007.355,1797.464,245081.534,40.963,12028.614
2011,115248.115,329.972,520232.942,83.096,1129143.309,5789.154,715.717,26433.826,87948.97,333517.198,10034.501,215345.913,523788.928,3178.009,84677.329,171342.874,2177.092,250502.719,41.039,14224.086
2012,126113.197,366.523,525198.007,583.459,1098508.12,5709.807,747.198,28518.713,88517.826,327417.89,9729.535,208372.395,501393.879,3002.434,92401.34,189509.96,3254.772,248765.397,39.38,16125.131
2013,128219.283,353.553,498742.302,-156.521,1075471.762,5949.864,821.372,31643.449,84284.665,321384.186,10235.462,206514.047,489254.266,2076.849,93831.019,198893.444,3731.087,244923.871,35.561,18018.941
2014,124720.469,358.927,501244.805,-431.937,1023011.424,6189.624,872.116,31818.505,81491.509,283520.165,9491.599,208966.146,485374.372,2354.574,88163.472,198876.088,4124.369,232764.838,41.318,19126.533
2015,128494.162,378.31,532332.717,-573.956,1042194.071,6502.311,954.442,28889.783,80954.394,296080.561,9589.728,203781.651,491450.996,2318.675,91093.019,204904.082,4296.047,234081.243,41.912,22640.861
2016,129585.506,351.103,532832.155,55.581,1055532.263,6696.838,1047.099,29715.546,76423.124,313360.245,8865.423,197052.792,496334.869,2327.987,91971.782,208335.849,4356.953,224585.892,43.041,22950.655
2017,133085.388,362.709,544705.127,-393.439,1081267.75,6771.779,1122.735,25309.198,77939.055,330987.793,10197.886,194898.857,510354.753,2171.977,93242.921,216118.312,4548.991,218775.388,44.86,26864.666
2018,137004.709,409.082,536609.355,761.008,1061676.634,6785.176,1080.247,29568.48,75397.074,324842.595,8403.366,195247.612,504106.782,2334.388,95908.933,225725.508,4311.249,210260.957,41.267,27580.281
2019,139713.264,359.137,526251.61,253.201,1031130.955,6898.189,1090.742,27537.276,62699.344,335085.101,6547.348,196180.921,502231.784,2284.137,97169.335,232470.806,4668.249,171825.468,42.903,31580.678
2020,139567.527,327.31,460294.999,1200.542,925431.089,6898.399,1106.622,29852.042,51543.488,327021.325,7579.838,175176.129,437074.23,1727.958,96146.479,239400.729,4500.555,140515.106,43.746,34236.761
2021,151220.607,305.604,471846.349,629.185,981856.564,6790.405,1102.122,29960.991,58357.983,339111.428,6115.999,186662.507,460075.493,1359.468,104519.384,251960.528,3896.867,163495.071,43.233,33272.466
2022,146282.42,271.222,495569.61,1114.523,946940.281,6754.707,895.799,23745.159,60957.226,294206.611,8437.145,155481.428,472582.73,1262.563,100387.448,249390.214,3910.329,162337.281,44.152,36272.835
2023,143174.161,280.745,492998.939,-38.3,881339.572,6620.55,726.733,28362.307,46153.323,272603.121,9471.965,157950.621,465224.714,924.169,95785.252,260692.345,4054.012,125581.285,39.663,41108.907
