TIME_PERIOD,Bioenergy,Charcoal,Crude oil,Electricity,Fossil energy,Geothermal,Heat,Hydro,Lignite,Natural gas,Natural gas liquids,Nuclear heat,Oil and petroleum products (excluding biofuel portion),Peat,Primary solid biofuels,Renewables and biofuels,Solar thermal,Solid fossil fuels,"Tide, wave, ocean",Wind
1990,3797.859,0.0,92842.175,79.966,310770.143,0.0,-2.914,1498.366,73447.442,54980.245,0.0,39636.271,126176.476,0.0,2943.991,5313.433,11.178,128537.786,0.0,6.105
1991,3755.634,0.0,92773.474,-49.441,305229.097,0.0,-2.914,1280.396,60037.316,57724.183,0.0,38003.468,131792.142,0.0,2917.025,5069.461,14.617,114687.384,0.0,18.487
1992,3823.808,0.0,101575.365,-457.438,295726.447,0.0,-2.914,1495.873,52280.556,56800.172,0.0,41010.203,133624.176,2.0,2930.687,5365.778,18.917,104375.332,0.0,25.021
1993,3859.625,0.0,103997.098,74.807,293761.952,0.0,-2.914,1537.231,47385.937,59687.489,0.0,39582.23,134580.701,83.614,2954.858,5478.953,24.076,98096.551,0.0,57.954
1994,3910.624,0.0,109367.949,200.946,292818.378,0.0,-3.368,1713.672,44642.59,61188.801,0.0,38922.671,134501.025,2.0,2976.139,5777.955,30.954,95718.336,0.0,122.786
1995,3920.241,0.0,104350.709,414.789,295535.68,0.0,-3.368,1872.743,41492.234,67297.506,0.0,39555.646,134918.298,2.0,2961.689,5976.842,37.833,91611.423,0.0,147.206
1996,4047.429,0.0,105645.937,-452.794,305254.555,0.0,-3.798,1887.962,40381.216,75261.565,0.0,41324.993,138025.838,2.0,2993.766,6164.546,47.291,90674.699,0.0,178.676
1997,5306.893,0.0,102732.18,-201.978,298834.716,0.0,-3.463,1492.433,38261.631,71948.28,0.0,43988.091,138444.86,2.0,4189.644,7122.155,59.329,86895.16,0.0,260.877
1998,5734.773,0.0,109680.138,-54.858,298478.783,0.0,-4.371,1480.31,36193.505,72728.74,0.0,41696.647,139057.106,1.8,4540.508,7684.819,71.367,84807.064,0.0,394.927
1999,5703.59,0.0,107697.893,89.424,288569.975,0.0,-3.487,1689.338,35319.14,71995.765,0.0,43853.138,134323.299,1.6,4456.315,7964.111,93.723,80726.514,0.0,475.322
